,Administrador,Usuario,mini juego,color presionado,dificultad,fecha,Juego,botón correcto,tiempo de interacción,número de interacción,auto push,tiempo de lección,tiempo de sesión
0,nicolas,nicolas,Despegue,blue,Episodio 1,2024-01-25 09:26:42,Astro,1,5.399169,1.0,0.0,0.0,0.0
1,nicolas,nicolas,Despegue,violet,Episodio 1,2024-01-25 09:26:46,Astro,0,1.2834,2.0,0.0,0.0,0.0
2,nicolas,nicolas,Despegue,green,Episodio 1,2024-01-25 09:26:48,Astro,1,2.700226,3.0,0.0,0.0,0.0
3,nicolas,nicolas,Despegue,green,Episodio 1,2024-01-25 09:26:57,Astro,0,3.050262,4.0,0.0,0.0,0.0
4,nicolas,nicolas,Despegue,green,Episodio 1,2024-01-25 09:26:58,Astro,0,4.750256,5.0,0.0,0.0,0.0
5,nicolas,nicolas,Despegue,green,Episodio 1,2024-01-25 09:27:01,Astro,0,7.400463,6.0,0.0,0.0,0.0
6,nicolas,nicolas,Despegue,green,Episodio 1,2024-01-25 09:27:07,Astro,0,13.16735,7.0,0.0,0.0,0.0
7,nicolas,nicolas,Despegue,yellow,Episodio 1,2024-01-25 09:27:16,Astro,1,4.4,8.0,0.0,0.0,0.0
8,nicolas,nicolas,Despegue,green,Episodio 1,2024-01-25 09:27:37,Astro,0,14.51718,9.0,0.0,0.0,0.0
9,nicolas,nicolas,Despegue,blue,Episodio 1,2024-01-25 09:27:38,Astro,0,15.61735,10.0,0.0,0.0,0.0
10,nicolas,nicolas,Despegue,green,Episodio 1,2024-01-25 09:27:39,Astro,0,16.80135,11.0,0.0,0.0,0.0
11,nicolas,nicolas,Despegue,violet,Episodio 1,2024-01-25 09:27:40,Astro,1,18.16748,12.0,0.0,0.0,0.0
12,nicolas,nicolas,Despegue,sin color,Episodio 1,2024-01-25 09:27:40,Astro,2,0.0,0.0,0.0,0.0,0.0
13,nicolas,nicolas,Asteroides,blue,Episodio 1,2024-01-25 09:28:28,Astro,0,9.223312,1.0,0.0,0.0,0.0
14,nicolas,nicolas,Asteroides,blue,Episodio 1,2024-01-25 09:28:29,Astro,1,10.40688,2.0,0.0,0.0,0.0
15,nicolas,nicolas,Asteroides,violet,Episodio 1,2024-01-25 09:28:31,Astro,0,1.184384,3.0,0.0,0.0,0.0
16,nicolas,nicolas,Asteroides,violet,Episodio 1,2024-01-25 09:28:34,Astro,1,4.400641,4.0,0.0,0.0,0.0
17,nicolas,nicolas,Asteroides,blue,Episodio 1,2024-01-25 09:28:37,Astro,0,2.050367,5.0,0.0,0.0,0.0
18,nicolas,nicolas,Asteroides,blue,Episodio 1,2024-01-25 09:28:37,Astro,1,2.534215,6.0,0.0,0.0,0.0
19,nicolas,nicolas,Asteroides,yellow,Episodio 1,2024-01-25 09:28:40,Astro,1,2.033403,7.0,0.0,0.0,0.0
20,nicolas,nicolas,Asteroides,sin color,Episodio 1,2024-01-25 09:28:40,Astro,2,0.0,0.0,0.0,0.0,0.0
21,nicolas,nicolas,Estrellas,violet,Episodio 1,2024-01-25 09:30:06,Astro,0,21.19685,1.0,0.0,0.0,0.0
